Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LSM115JE3/TR13","D_SMA_Handsoldering",88.0110,33.4010,90.0000,bottom
"D2","LSM115JE3/TR13","D_SMA_Handsoldering",88.0110,33.4410,90.0000,top
"F1","SR010-15","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.6930,33.2740,-90.0000,bottom
"F2","SR010-15","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.6930,33.2830,-90.0000,top
"J1","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",87.0000,14.7320,90.0000,top
"J2","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",87.0000,14.7320,-90.0000,bottom
"J3","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",87.0000,23.7490,-90.0000,bottom
"J4","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",87.0000,23.7490,90.0000,top
